GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM,HOME_WIN,HOME_ROLL_PTS,HOME_ROLL_REB,HOME_ROLL_AST,HOME_ROLL_TOV,HOME_ROLL_FG_PCT,HOME_ROLL_FG3_PCT,HOME_ROLL_FT_PCT,HOME_ROLL_PLUS_MINUS,HOME_ROLL_OFF_RATING,HOME_ROLL_DEF_RATING,HOME_ROLL_PACE,HOME_ROLL_TS_PCT,HOME_ROLL_EFG_PCT,HOME_ROLL_OREB_PCT,HOME_ROLL_DREB_PCT,HOME_ROLL_TM_TOV_PCT,HOME_ROLL_WIN_RATE,HOME_REST_DAYS,HOME_MISSING_ROTATION_MIN,HOME_ROLL_OFF_RATING_ADJ,HOME_ROLL_DEF_RATING_ADJ,HOME_GAME_MARGIN,AWAY_TEAM_ID,AWAY_TEAM,AWAY_WIN,AWAY_ROLL_PTS,AWAY_ROLL_REB,AWAY_ROLL_AST,AWAY_ROLL_TOV,AWAY_ROLL_FG_PCT,AWAY_ROLL_FG3_PCT,AWAY_ROLL_FT_PCT,AWAY_ROLL_PLUS_MINUS,AWAY_ROLL_OFF_RATING,AWAY_ROLL_DEF_RATING,AWAY_ROLL_PACE,AWAY_ROLL_TS_PCT,AWAY_ROLL_EFG_PCT,AWAY_ROLL_OREB_PCT,AWAY_ROLL_DREB_PCT,AWAY_ROLL_TM_TOV_PCT,AWAY_ROLL_WIN_RATE,AWAY_REST_DAYS,AWAY_MISSING_ROTATION_MIN,AWAY_ROLL_OFF_RATING_ADJ,AWAY_ROLL_DEF_RATING_ADJ,DIFF_ROLL_PTS,DIFF_ROLL_REB,DIFF_ROLL_AST,DIFF_ROLL_TOV,DIFF_ROLL_FG_PCT,DIFF_ROLL_FG3_PCT,DIFF_ROLL_FT_PCT,DIFF_ROLL_PLUS_MINUS,DIFF_ROLL_OFF_RATING,DIFF_ROLL_DEF_RATING,DIFF_ROLL_PACE,DIFF_ROLL_TS_PCT,DIFF_ROLL_EFG_PCT,DIFF_ROLL_OREB_PCT,DIFF_ROLL_DREB_PCT,DIFF_ROLL_TM_TOV_PCT,DIFF_ROLL_WIN_RATE,DIFF_REST_DAYS,DIFF_MISSING_ROTATION_MIN,DIFF_ROLL_OFF_RATING_ADJ,DIFF_ROLL_DEF_RATING_ADJ,HOME_ELO_PRE,AWAY_ELO_PRE,DIFF_ELO,TARGET
22200012,2022-10-19,2022-23,1610612762,UTA,1,,,,,,,,,,,,,,,,,,3.0,0.0,114.27169376693766,110.09969376693766,21,1610612743,DEN,0,,,,,,,,,,,,,,,,,,3.0,0.0,112.99902710027098,116.213027100271,,,,,,,,,,,,,,,,,,0.0,0.0,1.2726666666666802,-6.113333333333344,1500.0,1500.0,0.0,1
22200013,2022-10-19,2022-23,1610612756,PHX,1,,,,,,,,,,,,,,,,,,3.0,0.0,118.77752710027099,112.195527100271,2,1610612742,DAL,0,,,,,,,,,,,,,,,,,,3.0,0.0,112.86202710027098,121.0223604336043,,,,,,,,,,,,,,,,,,0.0,0.0,5.915500000000009,-8.826833333333312,1500.0,1500.0,0.0,1
22200014,2022-10-19,2022-23,1610612758,SAC,0,,,,,,,,,,,,,,,,,,3.0,0.0,119.05713821138211,115.1811382113821,-7,1610612757,POR,1,,,,,,,,,,,,,,,,,,3.0,0.0,108.95870567169956,109.03470567169957,,,,,,,,,,,,,,,,,,0.0,0.0,10.098432539682548,6.146432539682536,1500.0,1500.0,0.0,0
22200015,2022-10-20,2022-23,1610612755,PHI,0,117.0,31.0,16.0,14.0,0.5,0.382,0.857,-9.0,119.4,129.9,97.5,0.634,0.581,0.19,0.744,0.143,0.0,2.0,0.0,116.19802710027099,116.82602710027099,-2,1610612749,MIL,1,,,,,,,,,,,,,,,,,,3.0,0.0,114.157027100271,109.10502710027099,,,,,,,,,,,,,,,,,,-1.0,0.0,2.040999999999997,7.721000000000004,1493.5119520142446,1500.0,-6.488047985755429,0
22200016,2022-10-20,2022-23,1610612747,LAL,0,109.0,48.0,23.0,22.0,0.426,0.25,0.76,-14.0,97.3,107.0,113.5,0.519,0.479,0.246,0.719,0.196,0.0,2.0,0.0,115.11780487804877,108.33817524841913,-6,1610612746,LAC,1,,,,,,,,,,,,,,,,,,3.0,0.0,112.80509852884242,113.55234852884242,,,,,,,,,,,,,,,,,,-1.0,0.0,2.3127063492063513,-5.214173280423282,1491.4270913998498,1500.0,-8.572908600150186,0
22200017,2022-10-21,2022-23,1610612766,CHA,0,129.0,51.0,26.0,15.0,0.511,0.448,0.87,27.0,120.6,97.1,106.0,0.619,0.58,0.333,0.705,0.14,1.0,2.0,0.0,114.05802710027099,118.02802710027099,-12,1610612740,NOP,1,130.0,61.0,31.0,13.0,0.49,0.462,0.72,22.0,127.5,105.9,102.0,0.575,0.549,0.429,0.774,0.127,1.0,2.0,0.0,114.17711043360431,113.62502710027098,-1.0,-10.0,-5.0,2.0,0.02100000000000002,-0.014000000000000012,0.15000000000000002,5.0,-6.900000000000006,-8.800000000000011,4.0,0.04400000000000004,0.030999999999999917,-0.09599999999999997,-0.06900000000000006,0.013000000000000012,0.0,0.0,0.0,-0.11908333333332166,4.403000000000006,1528.1904486914248,1524.3644712841735,3.82597740725123,0
22200018,2022-10-21,2022-23,1610612754,IND,0,107.0,42.0,21.0,15.0,0.402,0.357,0.667,-7.0,102.9,108.6,104.5,0.504,0.479,0.29,0.647,0.144,0.0,2.0,0.0,120.66224932249321,116.77558265582654,-3,1610612759,SAS,1,102.0,44.0,22.0,15.0,0.404,0.206,0.714,-27.0,97.1,120.6,106.0,0.471,0.439,0.295,0.667,0.143,0.0,2.0,0.0,116.080527100271,115.78586043360433,5.0,-2.0,-1.0,0.0,-0.0020000000000000018,0.151,-0.04699999999999993,20.0,5.800000000000011,-12.0,-1.5,0.03300000000000003,0.03999999999999998,-0.0050000000000000044,-0.020000000000000018,0.0010000000000000009,0.0,0.0,0.0,4.581722222222211,0.9897222222222126,1488.2940952878162,1471.8095513085752,16.484543979240925,0
22200019,2022-10-21,2022-23,1610612764,WAS,1,114.0,53.0,21.0,17.0,0.457,0.355,0.792,7.0,108.6,102.9,104.5,0.556,0.516,0.353,0.71,0.162,1.0,2.0,0.0,110.524027100271,114.926027100271,2,1610612741,CHI,0,116.0,46.0,23.0,15.0,0.441,0.361,0.75,8.0,110.5,102.9,105.0,0.551,0.511,0.304,0.804,0.143,1.0,2.0,0.0,111.64923344947734,115.32590011614398,-2.0,7.0,-2.0,2.0,0.016000000000000014,-0.006000000000000005,0.04200000000000004,-1.0,-1.9000000000000057,0.0,-0.5,0.0050000000000000044,0.0050000000000000044,0.04899999999999999,-0.09400000000000008,0.019000000000000017,0.0,0.0,0.0,-1.125206349206337,-0.3998730158729842,1511.7059047121838,1512.633367584566,-0.9274628723821934,1
22200020,2022-10-21,2022-23,1610612737,ATL,1,117.0,38.0,30.0,9.0,0.5,0.28,0.833,10.0,110.4,100.9,106.0,0.582,0.539,0.128,0.696,0.085,1.0,2.0,0.0,,,10,1610612753,ORL,0,109.0,48.0,21.0,18.0,0.488,0.367,0.737,-4.0,106.9,111.9,101.5,0.578,0.552,0.277,0.707,0.176,0.0,2.0,0.0,,,8.0,-10.0,9.0,-9.0,0.01200000000000001,-0.08699999999999997,0.09599999999999997,14.0,3.5,-11.0,4.5,0.0040000000000000036,-0.013000000000000012,-0.14900000000000002,-0.01100000000000001,-0.09099999999999998,1.0,0.0,0.0,,,1506.9170949668037,1495.7845155808923,11.132579385911413,1
22200021,2022-10-21,2022-23,1610612751,BKN,1,108.0,39.0,22.0,16.0,0.449,0.303,0.75,-22.0,105.9,127.5,102.0,0.542,0.506,0.226,0.571,0.157,0.0,2.0,0.0,118.30702710027099,109.78102710027099,4,1610612761,TOR,0,108.0,41.0,19.0,13.0,0.419,0.433,0.719,3.0,109.1,106.1,99.0,0.54,0.494,0.321,0.805,0.131,1.0,2.0,0.0,113.16602710027098,109.88702710027101,0.0,-2.0,3.0,3.0,0.030000000000000027,-0.13,0.031000000000000028,-25.0,-3.1999999999999886,21.400000000000006,3.0,0.0020000000000000018,0.01200000000000001,-0.095,-0.2340000000000001,0.025999999999999995,-1.0,0.0,0.0,5.141000000000005,-0.10600000000002296,1475.6355287158265,1503.7264050241895,-28.090876308363022,1
22200022,2022-10-21,2022-23,1610612748,MIA,0,108.0,46.0,21.0,19.0,0.463,0.429,0.786,-8.0,102.9,110.5,105.0,0.585,0.538,0.196,0.696,0.181,0.0,2.0,0.0,117.28002710027098,115.54252710027099,-7,1610612738,BOS,1,126.0,36.0,24.0,11.0,0.561,0.343,0.786,9.0,129.9,119.4,97.5,0.668,0.634,0.256,0.81,0.113,1.0,3.0,0.0,124.01002710027099,107.96336043360434,-18.0,10.0,-3.0,8.0,-0.09800000000000003,0.08599999999999997,0.0,-17.0,-27.0,-8.900000000000006,7.5,-0.08300000000000007,-0.09599999999999997,-0.06,-0.1140000000000001,0.06799999999999999,-1.0,-1.0,0.0,-6.730000000000004,7.5791666666666515,1487.366632415434,1506.4880479857554,-19.12141557032146,0
22200023,2022-10-21,2022-23,1610612752,NYK,1,112.0,54.0,28.0,12.0,0.404,0.243,0.833,-3.0,105.7,107.5,96.45,0.479,0.445,0.324,0.6,0.113,0.0,2.0,0.0,118.32706413730801,120.02410117434505,24,1610612765,DET,0,113.0,41.0,31.0,13.0,0.426,0.368,0.792,4.0,111.9,106.9,101.5,0.54,0.5,0.293,0.723,0.129,1.0,2.0,0.0,117.93702710027098,120.39402710027097,-1.0,13.0,-3.0,-1.0,-0.021999999999999964,-0.125,0.040999999999999925,-7.0,-6.200000000000003,0.5999999999999943,-5.049999999999997,-0.061000000000000054,-0.05499999999999999,0.031000000000000028,-0.123,-0.016,-1.0,0.0,0.0,0.3900370370370325,-0.36992592592592644,1496.2735949758105,1504.2154844191077,-7.941889443297214,1
22200024,2022-10-21,2022-23,1610612745,HOU,0,107.0,54.0,25.0,16.0,0.429,0.257,0.933,-10.0,100.9,110.4,106.0,0.511,0.474,0.304,0.872,0.151,0.0,2.0,0.0,110.569027100271,121.48802710027098,-7,1610612763,MEM,1,115.0,64.0,27.0,14.0,0.389,0.34,0.609,3.0,107.5,105.7,96.45,0.487,0.468,0.4,0.676,0.131,1.0,2.0,0.0,111.38702710027098,106.83702710027099,-8.0,-10.0,-2.0,2.0,0.03999999999999998,-0.08300000000000002,0.32400000000000007,-13.0,-6.599999999999994,4.700000000000003,9.549999999999997,0.02400000000000002,0.00599999999999995,-0.09600000000000003,0.19599999999999995,0.01999999999999999,-1.0,0.0,0.0,-0.8179999999999836,14.650999999999996,1493.0829050331963,1503.7264050241895,-10.643499990993178,0
22200025,2022-10-21,2022-23,1610612750,MIN,0,115.0,55.0,25.0,14.0,0.415,0.263,0.818,7.0,109.5,100.9,106.0,0.53,0.468,0.3,0.683,0.133,1.0,2.0,0.0,110.44724932249322,109.46105884630275,-6,1610612762,UTA,1,123.0,43.0,27.0,20.0,0.506,0.421,0.742,21.0,119.4,100.0,102.5,0.636,0.602,0.409,0.75,0.194,1.0,2.0,0.0,122.93993186217574,122.84770963995354,-8.0,12.0,-2.0,-6.0,-0.09100000000000003,-0.15799999999999997,0.07599999999999996,-14.0,-9.900000000000006,0.9000000000000057,3.5,-0.10599999999999998,-0.13399999999999995,-0.10899999999999999,-0.06699999999999995,-0.061,0.0,0.0,0.0,-12.49268253968252,-13.386650793650787,1505.6074970841937,1511.2963476573834,-5.688850573189711,0
